ROW,COL,CELL_ID,CountyName,CountyNum,GCD_Name,GCD_Num,GCD_Name_1,GCD_Num_1,GCD_Name_2,GCD_Num_2,BasinName,BasinNum,IBND1,CentroidX,CentroidY,uGCD,GMA,PGMA,RA_SLD,REG_NAME,LETTER,REG_NUM,AQ_Active1
44,92,1044092,"Travis",227,"Barton Spring Edwards CD",17," ",0," ",0,"COLORADO",14,1,5617646.8361,19315905.7549," ",10," ","LOWER COLORADO RIVER AUTHORITY","LOWER COLORADO","K",11,1
44,93,1044093,"Travis",227,"Barton Spring Edwards CD",17," ",0," ",0,"COLORADO",14,1,5618353.94288,19316612.8616," ",10," ","LOWER COLORADO RIVER AUTHORITY","LOWER COLORADO","K",11,1
44,94,1044094,"Travis",227,"Barton Spring Edwards CD",17," ",0," ",0,"COLORADO",14,1,5619061.04966,19317319.9684," ",10," ","LOWER COLORADO RIVER AUTHORITY","LOWER COLORADO","K",11,1
44,95,1044095,"Travis",227,"Barton Spring Edwards CD",17," ",0," ",0,"COLORADO",14,1,5619768.15644,19318027.0752," ",10," ","LOWER COLORADO RIVER AUTHORITY","LOWER COLORADO","K",11,1
44,96,1044096,"Travis",227,"Barton Spring Edwards CD",17," ",0," ",0,"COLORADO",14,1,5620475.26322,19318734.182," ",10," ","LOWER COLORADO RIVER AUTHORITY","LOWER COLORADO","K",11,1
44,97,1044097,"Travis",227,"Barton Spring Edwards CD",17," ",0," ",0,"COLORADO",14,1,5621182.37,19319441.2888," ",10," ","LOWER COLORADO RIVER AUTHORITY","LOWER COLORADO","K",11,1
44,98,1044098,"Travis",227,"Barton Spring Edwards CD",17," ",0," ",0,"COLORADO",14,1,5621889.47679,19320148.3955," ",10," ","LOWER COLORADO RIVER AUTHORITY","LOWER COLORADO","K",11,1
44,99,1044099,"Travis",227,"Barton Spring Edwards CD",17," ",0," ",0,"COLORADO",14,1,5622596.58357,19320855.5023," ",10," ","LOWER COLORADO RIVER AUTHORITY","LOWER COLORADO","K",11,1
44,100,1044100,"Travis",227,"Barton Spring Edwards CD",17," ",0," ",0,"COLORADO",14,1,5623303.69035,19321562.6091," ",10," ","LOWER COLORADO RIVER AUTHORITY","LOWER COLORADO","K",11,1
44,101,1044101,"Travis",227,"Barton Spring Edwards CD",17," ",0," ",0,"COLORADO",14,1,5624010.79713,19322269.7159," ",10," ","LOWER COLORADO RIVER AUTHORITY","LOWER COLORADO","K",11,1
44,102,1044102,"Travis",227,"Barton Spring Edwards CD",17," ",0," ",0,"COLORADO",14,1,5624717.90391,19322976.8227," ",10," ","LOWER COLORADO RIVER AUTHORITY","LOWER COLORADO","K",11,1
44,103,1044103,"Travis",227,"Barton Spring Edwards CD",17," ",0," ",0,"COLORADO",14,1,5625425.01069,19323683.9295," ",10," ","LOWER COLORADO RIVER AUTHORITY","LOWER COLORADO","K",11,1
44,104,1044104,"Travis",227,"Barton Spring Edwards CD",17," ",0," ",0,"COLORADO",14,0,5626132.11747,19324391.0362," ",10," ","LOWER COLORADO RIVER AUTHORITY","LOWER COLORADO","K",11,0
44,105,1044105,"Travis",227,"Barton Spring Edwards CD",17," ",0," ",0,"COLORADO",14,0,5626839.22425,19325098.143," ",10," ","LOWER COLORADO RIVER AUTHORITY","LOWER COLORADO","K",11,0
44,106,1044106,"Travis",227,"Barton Spring Edwards CD",17," ",0," ",0,"COLORADO",14,0,5627546.33103,19325805.2498," ",10," ","LOWER COLORADO RIVER AUTHORITY","LOWER COLORADO","K",11,0
44,107,1044107,"Travis",227,"Barton Spring Edwards CD",17," ",0," ",0,"COLORADO",14,0,5628253.43782,19326512.3566," ",10," ","LOWER COLORADO RIVER AUTHORITY","LOWER COLORADO","K",11,0
44,108,1044108,"Travis",227,"ND Travis",727," ",0," ",0,"COLORADO",14,0,5628960.5446,19327219.4634," ",10," ","LOWER COLORADO RIVER AUTHORITY","LOWER COLORADO","K",11,0
44,109,1044109,"Travis",227,"Barton Spring Edwards CD",17," ",0," ",0,"COLORADO",14,0,5629667.65138,19327926.5701," ",10," ","LOWER COLORADO RIVER AUTHORITY","LOWER COLORADO","K",11,0
44,110,1044110,"Travis",227,"Barton Spring Edwards CD",17," ",0," ",0,"COLORADO",14,0,5630374.75816,19328633.6769," ",10," ","LOWER COLORADO RIVER AUTHORITY","LOWER COLORADO","K",11,0
44,111,1044111,"Travis",227,"ND Travis",727," ",0," ",0,"COLORADO",14,0,5631081.86494,19329340.7837," ",10," ","LOWER COLORADO RIVER AUTHORITY","LOWER COLORADO","K",11,0
44,112,1044112,"Travis",227,"ND Travis",727," ",0," ",0,"COLORADO",14,0,5631788.97172,19330047.8905," ",10," ","LOWER COLORADO RIVER AUTHORITY","LOWER COLORADO","K",11,0
44,113,1044113,"Travis",227,"ND Travis",727," ",0," ",0,"COLORADO",14,0,5632496.0785,19330754.9973," ",10," ","LOWER COLORADO RIVER AUTHORITY","LOWER COLORADO","K",11,0
44,114,1044114,"Travis",227,"ND Travis",727," ",0," ",0,"COLORADO",14,0,5633203.18528,19331462.104," ",8," ","LOWER COLORADO RIVER AUTHORITY","LOWER COLORADO","K",11,0
44,115,1044115,"Travis",227,"ND Travis",727," ",0," ",0,"COLORADO",14,0,5633910.29207,19332169.2108," ",8," ","LOWER COLORADO RIVER AUTHORITY","LOWER COLORADO","K",11,0
44,116,1044116,"Travis",227,"ND Travis",727," ",0," ",0,"COLORADO",14,0,5634617.39885,19332876.3176," ",8," ","LOWER COLORADO RIVER AUTHORITY","LOWER COLORADO","K",11,0
44,117,1044117,"Travis",227,"ND Travis",727," ",0," ",0,"COLORADO",14,0,5635324.50563,19333583.4244," ",8," ","LOWER COLORADO RIVER AUTHORITY","LOWER COLORADO","K",11,0
44,118,1044118,"Travis",227,"ND Travis",727," ",0," ",0,"COLORADO",14,0,5636031.61241,19334290.5312," ",8," ","LOWER COLORADO RIVER AUTHORITY","LOWER COLORADO","K",11,0
44,119,1044119,"Travis",227,"ND Travis",727," ",0," ",0,"COLORADO",14,0,5636738.71919,19334997.638," ",8," ","LOWER COLORADO RIVER AUTHORITY","LOWER COLORADO","K",11,0
44,120,1044120,"Travis",227,"ND Travis",727," ",0," ",0,"COLORADO",14,0,5637445.82597,19335704.7447," ",8," ","LOWER COLORADO RIVER AUTHORITY","LOWER COLORADO","K",11,0
45,1,1045001,"Hays",105,"Barton Spring Edwards CD",17," ",0,"Edwards Aquifer Authority",35,"GUADALUPE",18,0,5553653.6724,19251205.4844," ",10," ","GUADALUPE-BLANCO RIVER AUTHORITY","SOUTH CENTRAL TEXAS","L",12,0
45,2,1045002,"Hays",105,"Barton Spring Edwards CD",17," ",0,"Edwards Aquifer Authority",35,"GUADALUPE",18,0,5554360.77918,19251912.5912," ",10," ","GUADALUPE-BLANCO RIVER AUTHORITY","SOUTH CENTRAL TEXAS","L",12,0
45,3,1045003,"Hays",105,"Barton Spring Edwards CD",17," ",0,"Edwards Aquifer Authority",35,"GUADALUPE",18,0,5555067.88596,19252619.6979," ",10," ","GUADALUPE-BLANCO RIVER AUTHORITY","SOUTH CENTRAL TEXAS","L",12,0
45,4,1045004,"Hays",105,"Barton Spring Edwards CD",17," ",0,"Edwards Aquifer Authority",35,"COLORADO",14,0,5555774.99274,19253326.8047," ",10," ","GUADALUPE-BLANCO RIVER AUTHORITY","LOWER COLORADO","K",11,0
45,5,1045005,"Hays",105,"Barton Spring Edwards CD",17," ",0,"Edwards Aquifer Authority",35,"COLORADO",14,0,5556482.09953,19254033.9115," ",10," ","GUADALUPE-BLANCO RIVER AUTHORITY","LOWER COLORADO","K",11,0
45,6,1045006,"Hays",105,"Barton Spring Edwards CD",17," ",0,"Edwards Aquifer Authority",35,"COLORADO",14,0,5557189.20631,19254741.0183," ",10," ","GUADALUPE-BLANCO RIVER AUTHORITY","LOWER COLORADO","K",11,0
45,7,1045007,"Hays",105,"Barton Spring Edwards CD",17," ",0,"Edwards Aquifer Authority",35,"COLORADO",14,0,5557896.31309,19255448.1251," ",10," ","GUADALUPE-BLANCO RIVER AUTHORITY","LOWER COLORADO","K",11,0
45,8,1045008,"Hays",105,"Barton Spring Edwards CD",17," ",0," ",0,"COLORADO",14,0,5558603.41987,19256155.2318," ",10," ","GUADALUPE-BLANCO RIVER AUTHORITY","LOWER COLORADO","K",11,0
